Year,System,School,Grade,Gender,Ethnicity,Sub Population,Total Student Count,Asian,Asian %,Black or African American,Black or African American %,American Indian / Alaska Native, American Indian / Alaska Native %,Native Hawaiian / Pacific Islander,Native Hawaiian / Pacific Islander %,White,White %,Two or more races,Two or more races %
2017,Coffee County,New Brockton Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,421,*,*,39,9.26,20,~,*,*,347,82.42,13,~
2017,Sylacauga City,Nichols-Lawson Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,505,*,*,177,35.05,*,*,*,*,315,62.38,*,*
2017,Jasper City,North Highland School,All Grades,All Gender,All Ethnicity,All SubPopulation,*,*,*,*,*,*,*,*,*,*,*,*,*
2017,Franklin County,Phil Campbell Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,458,*,*,*,*,*,*,*,*,*,*,*,*
2017,Geneva County,Samson Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,335,*,*,27,8.06,*,*,*,*,280,83.58,23,6.87
2017,Tarrant City,Tarrant Intermediate School,All Grades,All Gender,All Ethnicity,All SubPopulation,376,*,*,235,62.50,94,25.00,*,*,39,10.37,*,*
2017,Huntsville City,Challenger Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,456,23,5.04,79,17.32,*,*,*,*,329,72.15,16,~
2017,Baldwin County,Daphne Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,623,*,*,140,22.47,*,*,*,*,456,73.19,19,~
2017,Pike County,Pike County Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,461,*,*,327,70.93,*,*,*,*,119,25.81,11,~
2017,Arab City,Arab Primary School,All Grades,All Gender,All Ethnicity,All SubPopulation,667,*,*,*,*,*,*,*,*,637,~,12,~
2017,Attalla City,Attalla Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,577,*,*,88,15.25,33,5.72,*,*,420,72.79,29,5.03
2017,Birmingham City,Barrett Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,419,*,*,405,~,*,*,*,*,*,*,11,~
2017,Bessemer City,Bessemer City Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,742,*,*,668,90.03,*,*,*,*,63,8.49,*,*
2017,Autauga County,Billingsley High School,All Grades,All Gender,All Ethnicity,All SubPopulation,644,*,*,135,20.96,*,*,*,*,496,77.02,11,~
2017,Bibb County,Brent Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,615,*,*,246,40.00,*,*,*,*,358,58.21,*,*
2017,Marshall County,Brindlee Mountain Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,260,*,*,*,*,*,*,*,*,*,*,*,*
2017,Tuscaloosa County,Buhl Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,234,*,*,*,*,11,~,*,*,199,85.04,14,5.98
2017,Auburn City,Cary Woods Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,537,82,15.27,134,24.95,12,~,*,*,286,53.26,23,~
2017,Madison County,Central School,All Grades,All Gender,All Ethnicity,All SubPopulation,729,*,*,75,10.29,79,10.84,*,*,552,75.72,20,~
2017,Huntsville City,Chapman Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,590,*,*,315,53.39,*,*,*,*,214,36.27,50,8.47
2017,Colbert County,Cherokee Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,321,*,*,31,9.66,*,*,*,*,269,83.80,20,6.23
2017,Talladega County,Childersburg Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,219,*,*,135,61.64,*,*,*,*,84,38.36,*,*
2017,Blount County,Cleveland High School,All Grades,All Gender,All Ethnicity,All SubPopulation,378,*,*,*,*,18,~,*,*,357,94.44,*,*
2017,Shelby County,Columbiana Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,427,*,*,47,11.01,18,~,*,*,358,83.84,*,*
2017,Pell City,Coosa Valley Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,403,*,*,38,9.43,*,*,*,*,351,87.10,11,~
2017,Walker County,Cordova Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,386,*,*,24,6.22,*,*,*,*,353,91.45,*,*
2017,DeKalb County,Crossville Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,627,*,*,*,*,119,18.98,*,*,502,80.06,*,*
2017,Enterprise City,Dauphin Junior High School,All Grades,All Gender,All Ethnicity,All SubPopulation,632,22,~,123,19.46,54,8.54,*,*,409,64.72,23,~
2017,Oxford City,De Armanville Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,527,14,~,162,30.74,12,~,*,*,307,58.25,29,5.50
2017,Escambia County,Escambia County Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,487,*,*,404,82.96,15,~,*,*,58,11.91,*,*
2017,Eufaula City,Eufaula Primary School,All Grades,All Gender,All Ethnicity,All SubPopulation,1002,*,*,523,52.20,*,*,*,*,466,46.51,*,*
2017,Morgan County,Eva School,All Grades,All Gender,All Ethnicity,All SubPopulation,367,*,*,*,*,*,*,*,*,*,*,*,*
2017,Chambers County,Five Points Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,127,*,*,67,52.76,*,*,*,*,58,45.67,*,*
2017,Jackson County,Flat Rock School,All Grades,All Gender,All Ethnicity,All SubPopulation,139,*,*,*,*,34,24.46,*,*,104,74.82,*,*
2017,Covington County,Florala High School,All Grades,All Gender,All Ethnicity,All SubPopulation,203,*,*,25,12.32,*,*,*,*,174,85.71,*,*
2017,Florence City,Florence Freshman Center,All Grades,All Gender,All Ethnicity,All SubPopulation,366,*,*,115,31.42,*,*,*,*,217,59.29,31,8.47
2017,Tuscumbia City,G W Trenholm Primary School,All Grades,All Gender,All Ethnicity,All SubPopulation,351,*,*,98,27.92,*,*,*,*,242,68.95,*,*
2017,Etowah County,Gaston High School,All Grades,All Gender,All Ethnicity,All SubPopulation,566,*,*,59,10.42,*,*,*,*,488,86.22,14,~
2017,Dale County,George W Long High School,All Grades,All Gender,All Ethnicity,All SubPopulation,416,*,*,29,6.97,*,*,*,*,380,91.35,*,*
2017,Fairfield City,Glen Oaks Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,320,*,*,*,*,*,*,*,*,*,*,*,*
2017,Butler County,Greenville Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,604,*,*,440,72.85,*,*,*,*,148,24.50,*,*
2017,Guntersville City,Guntersville High School,All Grades,All Gender,All Ethnicity,All SubPopulation,638,*,*,51,7.99,38,5.96,*,*,519,81.35,20,~
2017,Ozark City,Harry N Mixon Intermediate School,All Grades,All Gender,All Ethnicity,All SubPopulation,417,*,*,206,49.40,*,*,*,*,182,43.65,18,~
2017,Hartselle City,Hartselle High School,All Grades,All Gender,All Ethnicity,All SubPopulation,987,16,~,48,~,*,*,*,*,903,91.49,16,~
2017,Lawrence County,Hatton Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,473,*,*,*,*,75,15.86,*,*,387,81.82,*,*
2017,Lowndes County,Hayneville Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,165,*,*,*,*,*,*,*,*,*,*,*,*
2017,Henry County,Headland High School,All Grades,All Gender,All Ethnicity,All SubPopulation,357,*,*,68,19.05,*,*,*,*,279,78.15,*,*
2017,Houston County,Houston County High School,All Grades,All Gender,All Ethnicity,All SubPopulation,364,*,*,160,43.96,*,*,*,*,198,54.40,*,*
2017,Fayette County,Hubbertville School,All Grades,All Gender,All Ethnicity,All SubPopulation,435,*,*,*,*,*,*,*,*,*,*,*,*
2017,Limestone County,Johnson Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,318,*,*,*,*,*,*,*,*,302,94.97,*,*
2017,Athens City,Julian Newman Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,358,*,*,60,16.76,19,5.31,*,*,232,64.80,40,11.17
2017,Lanett City,Lanett Junior High School,All Grades,All Gender,All Ethnicity,All SubPopulation,121,*,*,97,80.17,*,*,*,*,15,12.40,*,*
2017,Washington County,Leroy High School,All Grades,All Gender,All Ethnicity,All SubPopulation,609,*,*,162,26.60,72,11.82,*,*,371,60.92,*,*
2017,Vestavia Hills City,Liberty Park Elementary,All Grades,All Gender,All Ethnicity,All SubPopulation,633,45,7.11,36,5.69,*,*,*,*,527,83.25,21,~
2017,Gadsden City,Litchfield Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,195,*,*,128,65.64,43,22.05,*,*,23,11.79,*,*
2017,Conecuh County,Lyeffion Junior High School,All Grades,All Gender,All Ethnicity,All SubPopulation,189,*,*,114,60.32,*,*,*,*,71,37.57,*,*
2017,Winston County,Meek High School,All Grades,All Gender,All Ethnicity,All SubPopulation,243,*,*,*,*,*,*,*,*,*,*,*,*
2017,Russell County,Mount Olive Intermediate School,All Grades,All Gender,All Ethnicity,All SubPopulation,500,*,*,240,48.00,*,*,*,*,198,39.60,42,8.40
2017,Mountain Brook City,Mountain Brook Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,510,*,*,*,*,*,*,*,*,492,~,*,*
2017,Muscle Shoals City,Muscle Shoals High School,All Grades,All Gender,All Ethnicity,All SubPopulation,905,21,~,160,17.68,16,~,*,*,689,76.13,19,~
2017,Alexander City,Nathaniel H Stephens Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,493,*,*,210,42.60,*,*,*,*,268,54.36,11,~
2017,Coffee County,New Brockton High School,All Grades,All Gender,All Ethnicity,All SubPopulation,377,*,*,30,7.96,*,*,*,*,331,87.80,*,*
2017,Sumter County,North Sumter Junior High School,All Grades,All Gender,All Ethnicity,All SubPopulation,95,*,*,*,*,*,*,*,*,*,*,*,*
2017,Mobile County,Peter F Alba Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,510,67,13.14,44,8.63,*,*,*,*,376,73.73,18,~
2017,Phenix City,Phenix City Intermediate School,All Grades,All Gender,All Ethnicity,All SubPopulation,964,*,*,587,60.89,15,~,*,*,280,29.05,71,7.37
2017,Pike County,Pike County High School,All Grades,All Gender,All Ethnicity,All SubPopulation,478,*,*,299,62.55,21,~,*,*,151,31.59,*,*
2017,Sylacauga City,Pinecrest Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,536,*,*,230,42.91,*,*,*,*,287,53.54,12,~
2017,Cleburne County,Pleasant Grove Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,237,*,*,18,7.59,*,*,*,*,214,90.30,*,*
2017,Franklin County,Red Bay High School,All Grades,All Gender,All Ethnicity,All SubPopulation,812,*,*,18,~,*,*,*,*,776,~,*,*
2017,Greene County,Robert Brown Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,414,*,*,*,*,*,*,*,*,*,*,*,*
2017,Perry County,Robert C Hatch High School,All Grades,All Gender,All Ethnicity,All SubPopulation,674,*,*,*,*,*,*,*,*,*,*,*,*
2017,Midfield City,Rutledge School,All Grades,All Gender,All Ethnicity,All SubPopulation,319,*,*,304,~,*,*,*,*,*,*,*,*
2017,Geneva County,Samson High School,All Grades,All Gender,All Ethnicity,All SubPopulation,227,*,*,30,13.22,*,*,*,*,188,82.82,*,*
2017,Lee County,Sanford Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,599,*,*,136,22.70,*,*,*,*,435,72.62,23,~
2017,Scottsboro City,Scottsboro Junior High School,All Grades,All Gender,All Ethnicity,All SubPopulation,410,*,*,30,7.32,*,*,*,*,367,89.51,*,*
2017,Homewood City,Shades Cahaba Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,574,15,~,61,10.63,*,*,*,*,455,79.27,36,6.27
2017,Alabaster City,Thompson Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,938,13,~,167,17.80,123,13.11,*,*,602,64.18,30,~
2017,Bullock County,Union Springs Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,683,*,*,571,83.60,*,*,*,*,109,15.96,*,*
2017,Baldwin County,W J Carroll Intermediate School,All Grades,All Gender,All Ethnicity,All SubPopulation,479,*,*,108,22.55,*,*,*,*,324,67.64,39,8.14
2017,Randolph County,Wadley High School,All Grades,All Gender,All Ethnicity,All SubPopulation,438,*,*,80,18.26,22,5.02,*,*,326,74.43,*,*
2017,Jasper City,Walker High School,All Grades,All Gender,All Ethnicity,All SubPopulation,814,*,*,148,18.18,32,~,*,*,588,72.24,39,~
2017,Cullman City,West Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,644,*,*,*,*,*,*,*,*,609,94.57,18,~
2017,Russellville City,West Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,673,*,*,39,5.79,264,39.23,*,*,343,50.97,24,~
2017,Demopolis City,Westside Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,522,*,*,275,52.68,18,~,*,*,222,42.53,*,*
2017,Fort Payne City,Wills Valley Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,788,*,*,35,~,273,34.64,*,*,459,58.25,13,~
2017,Blount County,Cleveland Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,478,*,*,*,*,64,13.39,*,*,402,84.10,*,*
2017,Baldwin County,Daphne Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,711,*,*,155,21.80,*,*,*,*,502,70.60,40,5.63
2017,Hale County,Greensboro Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,584,*,*,555,~,*,*,*,*,20,~,*,*
2017,Elmore County,Airport Road Intermediate School,All Grades,All Gender,All Ethnicity,All SubPopulation,717,*,*,291,40.59,*,*,*,*,373,52.02,45,6.28
2017,Mobile County,Allentown Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,858,*,*,163,19.00,31,~,*,*,633,73.78,26,~
2017,Marshall County,Brindlee Mountain High School,All Grades,All Gender,All Ethnicity,All SubPopulation,370,*,*,11,~,*,*,*,*,346,93.51,*,*
2017,DeKalb County,Crossville Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,817,*,*,*,*,45,5.51,*,*,750,91.80,*,*
2017,Baldwin County,Daphne East Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,1125,27,~,210,18.67,*,*,13,~,851,75.64,17,~
2017,Hale County,Greensboro Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,272,*,*,*,*,*,*,*,*,*,*,*,*
2017,Hale County,Greensboro High School,All Grades,All Gender,All Ethnicity,All SubPopulation,428,*,*,*,*,*,*,*,*,*,*,*,*
2017,Tuscaloosa County,Big Sandy Elementary,All Grades,All Gender,All Ethnicity,All SubPopulation,327,*,*,110,33.64,*,*,*,*,209,63.91,*,*
2017,Boaz City,Boaz Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,444,*,*,*,*,143,32.21,*,*,273,61.49,15,~
2017,Birmingham City,Bush Hills Academy,All Grades,All Gender,All Ethnicity,All SubPopulation,464,*,*,451,~,*,*,*,*,*,*,*,*
2017,DeKalb County,Crossville High School,All Grades,All Gender,All Ethnicity,All SubPopulation,594,*,*,*,*,42,7.07,*,*,547,92.09,*,*
2017,Baldwin County,Delta Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,228,*,*,34,14.91,*,*,*,*,183,80.26,*,*
2017,Shelby County,Elvin Hill Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,516,*,*,77,14.92,20,~,*,*,397,76.94,21,~
2017,Enterprise City,Enterprise Early Education Center,All Grades,All Gender,All Ethnicity,All SubPopulation,627,17,~,134,21.37,79,12.60,*,*,387,61.72,*,*
2017,Talladega City,Evelyn D Houston Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,409,*,*,317,77.51,*,*,*,*,78,19.07,*,*
2017,Blount County,Hayden Primary School,All Grades,All Gender,All Ethnicity,All SubPopulation,545,*,*,*,*,*,*,*,*,531,~,*,*
2017,Wilcox County,J E Hobbs Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,545,*,*,*,*,*,*,*,*,*,*,*,*
2017,Phenix City,Lakewood Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,526,*,*,132,25.10,*,*,*,*,338,64.26,37,7.03
2017,Winston County,Meek Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,237,*,*,*,*,*,*,*,*,*,*,*,*
2017,Opelika City,Morris Avenue Intermediate School,All Grades,All Gender,All Ethnicity,All SubPopulation,321,*,*,202,62.93,*,*,*,*,91,28.35,19,5.92
2017,Auburn City,Pick Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,536,63,11.75,126,23.51,21,~,*,*,317,59.14,*,*
2017,Cleburne County,Ranburne Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,354,*,*,*,*,*,*,*,*,*,*,*,*
2017,Geneva County,Samson Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,151,*,*,18,11.92,*,*,*,*,120,79.47,12,7.95
2017,Selma City,Sophia P Kingston Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,135,*,*,*,*,*,*,*,*,*,*,*,*
2017,Baldwin County,Elberta Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,427,*,*,*,*,*,*,*,*,393,92.04,26,6.09
2017,Phenix City,Lakewood Primary School,All Grades,All Gender,All Ethnicity,All SubPopulation,537,*,*,134,24.95,*,*,*,*,341,63.50,50,9.31
2017,Geneva County,Slocomb Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,594,*,*,62,10.44,*,*,*,*,512,86.20,14,~
2017,Escambia County,Flomaton Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,404,*,*,72,17.82,*,*,*,*,313,77.48,14,~
2017,Mobile County,Augusta Evans School,All Grades,All Gender,All Ethnicity,All SubPopulation,266,*,*,155,58.27,*,*,*,*,97,36.47,*,*
2017,Jefferson County,Bagley Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,527,*,*,*,*,*,*,*,*,*,*,*,*
2017,Montgomery County,Bellingrath Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,480,*,*,*,*,*,*,*,*,*,*,*,*
2017,Boaz City,Boaz Intermediate School,All Grades,All Gender,All Ethnicity,All SubPopulation,369,*,*,*,*,112,30.35,*,*,233,63.14,12,~
2017,Bullock County,Bullock County High School,All Grades,All Gender,All Ethnicity,All SubPopulation,403,*,*,359,89.08,*,*,*,*,43,10.67,*,*
2017,Birmingham City,Charles A Brown Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,429,*,*,*,*,*,*,*,*,*,*,*,*
2017,Cherokee County,Cherokee County High School,All Grades,All Gender,All Ethnicity,All SubPopulation,510,*,*,53,10.39,48,9.41,*,*,401,78.63,*,*
2017,Talladega County,Childersburg High School,All Grades,All Gender,All Ethnicity,All SubPopulation,428,*,*,238,55.61,*,*,*,*,182,42.52,*,*
2017,Chilton County,Clanton Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,664,*,*,126,18.98,17,~,*,*,494,74.40,22,~
2017,Scottsboro City,Collins Intermediate School,All Grades,All Gender,All Ethnicity,All SubPopulation,370,*,*,21,5.68,12,~,*,*,334,90.27,*,*
2017,Walker County,Cordova High School,All Grades,All Gender,All Ethnicity,All SubPopulation,489,*,*,35,7.16,*,*,*,*,449,91.82,*,*
2017,Tuscaloosa County,Cottondale Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,346,*,*,82,23.70,36,10.40,*,*,192,55.49,35,10.12
2017,Cullman City,Cullman City Primary School,All Grades,All Gender,All Ethnicity,All SubPopulation,456,*,*,*,*,*,*,*,*,416,91.23,22,~
2017,Auburn City,Dean Road Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,436,27,6.19,135,30.96,*,*,*,*,252,57.80,11,~
2017,Demopolis City,Demopolis High School,All Grades,All Gender,All Ethnicity,All SubPopulation,713,*,*,362,50.77,16,~,*,*,317,44.46,*,*
2017,Decatur City,Eastwood Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,264,*,*,54,20.45,*,*,*,*,194,73.48,*,*
2017,Pell City,Eden Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,351,*,*,26,7.41,*,*,*,*,301,85.75,21,5.98
2017,Baldwin County,Elberta Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,592,*,*,*,*,*,*,*,*,546,92.23,35,5.91
2017,Limestone County,Elkmont High School,All Grades,All Gender,All Ethnicity,All SubPopulation,1109,*,*,34,~,42,~,*,*,966,87.11,58,5.23
2017,Enterprise City,Enterprise High School,All Grades,All Gender,All Ethnicity,All SubPopulation,2150,51,~,479,22.28,29,~,*,*,1493,69.44,93,~
2017,Fayette County,Fayette Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,565,*,*,135,23.89,*,*,*,*,395,69.91,32,5.66
2017,Escambia County,Flomaton High School,All Grades,All Gender,All Ethnicity,All SubPopulation,498,*,*,71,14.26,34,6.83,*,*,390,78.31,*,*
2017,Florence City,Forest Hills School,All Grades,All Gender,All Ethnicity,All SubPopulation,807,*,*,137,16.98,*,*,*,*,604,74.85,60,7.43
2017,Gadsden City,Gadsden Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,457,*,*,220,48.14,63,13.79,*,*,157,34.35,*,*
2017,Dothan City,Girard Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,292,*,*,218,74.66,*,*,*,*,67,22.95,*,*
2017,Etowah County,Glencoe Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,384,*,*,*,*,*,*,*,*,371,~,*,*
2017,Talladega City,Graham Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,257,*,*,150,58.37,*,*,*,*,91,35.41,*,*
2017,Butler County,Greenville Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,378,*,*,261,69.05,*,*,*,*,105,27.78,*,*
2017,Clarke County,Grove Hill Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,355,*,*,237,66.76,*,*,*,*,107,30.14,11,~
2017,Hale County,Hale County High School,All Grades,All Gender,All Ethnicity,All SubPopulation,389,*,*,177,45.50,*,*,*,*,208,53.47,*,*
2017,Lawrence County,Hatton High School,All Grades,All Gender,All Ethnicity,All SubPopulation,437,*,*,*,*,86,19.68,*,*,336,76.89,*,*
2017,Blount County,Hayden High School,All Grades,All Gender,All Ethnicity,All SubPopulation,862,*,*,17,~,*,*,*,*,824,~,*,*
2017,Shelby County,Helena Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,880,*,*,108,12.27,13,~,*,*,719,81.70,31,~
2017,Jackson County,Hollywood Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,174,*,*,23,13.22,*,*,*,*,141,81.03,*,*
2017,Athens City,James L Cowart Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,329,*,*,65,19.76,45,13.68,*,*,184,55.93,33,10.03
2017,Ozark City,Joseph W Lisenby Primary School,All Grades,All Gender,All Ethnicity,All SubPopulation,469,*,*,251,53.52,*,*,*,*,186,39.66,21,~
2017,Vestavia Hills City,Liberty Park Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,505,25,~,17,~,*,*,*,*,443,87.72,20,~
2017,Lowndes County,Lowndes County Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,135,*,*,*,*,*,*,*,*,*,*,*,*
2017,Crenshaw County,Luverne High School,All Grades,All Gender,All Ethnicity,All SubPopulation,850,13,~,344,40.47,*,*,*,*,474,55.76,17,~
2017,Autauga County,Marbury High School,All Grades,All Gender,All Ethnicity,All SubPopulation,554,*,*,71,12.82,*,*,*,*,473,85.38,*,*
2017,Washington County,McIntosh High School,All Grades,All Gender,All Ethnicity,All SubPopulation,186,*,*,150,80.65,26,13.98,*,*,*,*,*,*
2017,Phenix City,Meadowlane Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,201,*,*,178,88.56,*,*,*,*,*,*,15,7.46
2017,Dale County,Midland City Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,403,*,*,146,36.23,*,*,*,*,229,56.82,26,6.45
2017,Mountain Brook City,Mountain Brook High School,All Grades,All Gender,All Ethnicity,All SubPopulation,1075,*,*,*,*,*,*,*,*,1038,~,18,~
2017,Russell County,Oliver Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,410,*,*,181,44.15,*,*,*,*,210,51.22,12,~
2017,Covington County,Pleasant Home School,All Grades,All Gender,All Ethnicity,All SubPopulation,558,*,*,23,~,*,*,*,*,521,93.37,*,*
2017,Cleburne County,Ranburne High School,All Grades,All Gender,All Ethnicity,All SubPopulation,502,*,*,*,*,*,*,*,*,*,*,*,*
2017,Bibb County,Randolph Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,208,*,*,28,13.46,*,*,*,*,176,84.62,*,*
2017,Houston County,Rehobeth High School,All Grades,All Gender,All Ethnicity,All SubPopulation,706,*,*,54,7.65,*,*,*,*,642,90.93,*,*
2017,Fairfield City,Robinson Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,274,*,*,*,*,*,*,*,*,*,*,*,*
2017,Selma City,School Of Discovery Genesis Center,All Grades,All Gender,All Ethnicity,All SubPopulation,275,*,*,*,*,*,*,*,*,*,*,*,*
2017,Sheffield City,Sheffield High School,All Grades,All Gender,All Ethnicity,All SubPopulation,275,*,*,113,41.09,*,*,*,*,154,56.00,*,*
2017,Geneva County,Slocomb Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,303,*,*,33,10.89,*,*,*,*,263,86.80,*,*
2017,Elmore County,Stanhope Elmore High School,All Grades,All Gender,All Ethnicity,All SubPopulation,1092,18,~,472,43.22,*,*,*,*,579,53.02,18,~
2017,Sylacauga City,Sylacauga High School,All Grades,All Gender,All Ethnicity,All SubPopulation,699,*,*,252,36.05,*,*,*,*,435,62.23,*,*
2017,Alabaster City,Thompson High School,All Grades,All Gender,All Ethnicity,All SubPopulation,1936,23,~,416,21.49,241,12.45,*,*,1208,62.40,44,~
2017,Conecuh County,Thurgood Marshall Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,166,*,*,141,84.94,*,*,*,*,18,10.84,*,*
2017,Muscle Shoals City,Webster Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,214,*,*,39,18.22,*,*,*,*,150,70.09,*,*
2017,Randolph County,Wedowee Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,216,*,*,51,23.61,*,*,*,*,138,63.89,26,12.04
2017,Jasper City,West Jasper Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,253,*,*,116,45.85,21,8.30,*,*,96,37.94,20,7.91
2017,Lee County,West Smiths Station Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,869,*,*,171,19.68,*,*,*,*,644,74.11,46,5.29
2017,Alexander City,William L Radney Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,406,*,*,164,40.39,*,*,*,*,221,54.43,*,*
2017,Talladega County,Childersburg Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,371,*,*,196,52.83,*,*,*,*,167,45.01,*,*
2017,Shelby County,Helena High School,All Grades,All Gender,All Ethnicity,All SubPopulation,1204,22,~,164,13.62,*,*,*,*,991,82.31,14,~
2017,Huntsville City,Columbia High School,All Grades,All Gender,All Ethnicity,All SubPopulation,927,*,*,568,61.27,30,~,*,*,211,22.76,98,10.57
2017,Shelby County,Helena Middle,All Grades,All Gender,All Ethnicity,All SubPopulation,1018,23,~,129,12.67,14,~,*,*,829,81.43,21,~
2017,Autauga County,Marbury Middle School,All Grades,All Gender,All Ethnicity,All SubPopulation,421,*,*,50,11.88,*,*,*,*,361,85.75,*,*
2017,Houston County,Rehobeth Elementary School,All Grades,All Gender,All Ethnicity,All SubPopulation,1081,*,*,103,9.53,*,*,*,*,944,87.33,26,~
