System,School,is CEP,Enrollment ,Free,% Free,Reduced,% Reduced,Free Reduced,% Free Reduced ,,,
,0015 Geneva County Elementary School,0,385,212,55.06%,25,6.49%,237,61.56%,,,
,0020 Geneva County High School,0,219,85,38.81%,14,6.39%,99,45.21%,,,
,0022 Geneva County Middle School,0,176,87,49.43%,13,7.39%,100,56.82%,,,
,0035 Samson Elementary School,0,321,214,66.67%,21,6.54%,235,73.21%,,,
,0040 Samson High School,0,206,114,55.34%,15,7.28%,129,62.62%,,,
,0045 Samson Middle School,0,150,98,65.33%,14,9.33%,112,74.67%,,,
,0047 Slocomb Elementary School,0,526,277,52.66%,51,9.70%,328,62.36%,,,
,0050 Slocomb Middle School,0,301,150,49.83%,26,8.64%,176,58.47%,,,
,0060 Slocomb High School,0,365,144,39.45%,14,3.84%,158,43.29%,,,
032 Greene County,,,902,580,64.302%,*,*,580,64.302%,,,
,0025 Eutaw Primary School,1,306,216,70.59%,*,*,216,70.59%,,,
,0030 Greene County High School,1,264,162,61.36%,*,*,162,61.36%,,,
,0040 Robert Brown Middle School,1,332,202,60.84%,*,*,202,60.84%,,,
033 Hale County,,,"2,224","1,457",65.513%,165,7.419%,"1,622",72.932%,,,
,0041 Greensboro Elementary School,0,486,408,83.95%,12,2.47%,420,86.42%,,,
,0042 Greensboro Middle School,0,251,207,82.47%,14,5.58%,221,88.05%,,,
,0043 Greensboro High School,0,286,224,78.32%,17,5.94%,241,84.27%,,,
,0050 Hale County High School,0,383,189,49.35%,39,10.18%,228,59.53%,,,
,0055 Hale County Middle School,0,271,139,51.29%,31,11.44%,170,62.73%,,,
,0060 Moundville Elementary School,0,547,290,53.02%,52,9.51%,342,62.52%,,,
034 Henry County,,,"2,404",848,35.275%,14,0.582%,862,35.857%,,,
,0017 Abbeville Elementary School,1,351,211,60.11%,*,*,211,60.11%,,,
,0020 Abbeville High School,1,316,167,52.85%,*,*,167,52.85%,,,
,0030 Headland Elementary School,0,774,240,31.01%,*,*,248,32.04%,,,
,0035 Headland Middle School,0,579,152,26.25%,*,*,157,27.12%,,,
,0040 Headland High School,0,384,78,20.31%,*,*,79,20.57%,,,
035 Houston County,,,"6,510","2,600",39.939%,266,4.086%,"2,866",44.025%,,,
,0010 Ashford High School,0,373,136,36.46%,15,4.02%,151,40.48%,,,
,0011 Ashford Middle School,0,295,154,52.20%,15,5.08%,169,57.29%,,,
,0012 Ashford Elementary School,0,554,270,48.74%,25,4.51%,295,53.25%,,,
,0020 Cottonwood High School,0,357,164,45.94%,*,*,174,48.74%,,,
,0025 Cottonwood Elementary School,0,451,267,59.20%,16,3.55%,283,62.75%,,,
,0040 Houston County High School,0,283,164,57.95%,25,8.83%,189,66.78%,,,
,0045 Houston County Virtual Academy,0,317,138,43.53%,24,7.57%,162,51.10%,,,
,0050 Rehobeth High School,0,729,193,26.47%,16,2.19%,209,28.67%,,,
,0052 Rehobeth Elementary School,0,"1,118",381,34.08%,27,2.42%,408,36.49%,,,
,0054 Rehobeth Middle School,0,642,210,32.71%,18,2.80%,228,35.51%,,,
,0070 Webb Elementary School,0,434,272,62.67%,23,5.30%,295,67.97%,,,
,0075 Wicksburg Elementary School,0,521,154,29.56%,34,6.53%,188,36.08%,,,
,0080 Wicksburg High School,0,436,97,22.25%,18,4.13%,115,26.38%,,,
036 Jackson County,,,"4,933","1,704",34.543%,221,4.48%,"1,925",39.023%,,,
,0010 Bridgeport Middle School,1,137,44,32.12%,*,*,44,32.12%,,,
,0015 Bridgeport Elementary School,1,173,53,30.64%,*,*,53,30.64%,,,
,0020 Bryant School,0,95,46,48.42%,16,16.84%,62,65.26%,,,
,0030 Dutton Elementary School,1,218,71,32.57%,*,*,71,32.57%,,,
,0040 Flat Rock School,1,123,41,33.33%,*,*,41,33.33%,,,
,0050 Hollywood Elementary School,1,154,59,38.31%,*,*,59,38.31%,,,
,0070 Macedonia School,0,105,51,48.57%,*,*,60,57.14%,,,
,0075 North Jackson High School,0,452,215,47.57%,33,7.30%,248,54.87%,,,
,0080 North Sand Mountain School,0,689,286,41.51%,79,11.47%,365,52.98%,,,
,0100 Pisgah High School,0,576,169,29.34%,27,4.69%,196,34.03%,,,
,0110 Rosalie Elementary School,1,127,42,33.07%,*,*,42,33.07%,,,
,0120 Section High School,1,547,169,30.90%,*,*,169,30.90%,,,
,0130 Skyline High School,0,528,164,31.06%,57,10.80%,221,41.86%,,,
,0135 Stevenson Elementary School,1,288,87,30.21%,*,*,87,30.21%,,,
,0140 Stevenson Middle School,1,259,87,33.59%,*,*,87,33.59%,,,
,0150 Woodville High School,1,462,120,25.97%,*,*,120,25.97%,,,
037 Jefferson County,,,"35,182","15,226",43.278%,"1,568",4.457%,"16,794",47.735%,,,
,0030 Adamsville Elementary School,1,282,137,48.58%,*,*,137,48.58%,,,
,0050 Bagley Elementary School,0,522,102,19.54%,12,2.30%,114,21.84%,,,
,0078 Minor Middle School,1,693,354,51.08%,*,*,354,51.08%,,,
,0095 Bragg Middle School,0,762,215,28.22%,34,4.46%,249,32.68%,,,
,0110 Brighton School,1,352,200,56.82%,*,*,200,56.82%,,,
,0135 Brookville Elementary School,1,173,100,57.80%,*,*,100,57.80%,,,
,0138 Bryan Elementary School,0,696,97,13.94%,16,2.30%,113,16.24%,,,
,0141 Bryant Park Elementary,0,587,341,58.09%,48,8.18%,389,66.27%,,,
,0160 Center Point Elementary School,1,561,374,66.67%,*,*,374,66.67%,,,
,0170 Chalkville Elementary School,1,779,436,55.97%,*,*,436,55.97%,,,
,0180 Clay Elementary School,0,607,263,43.33%,47,7.74%,310,51.07%,,,
,0185 Clay-Chalkville High School,0,"1,371",682,49.74%,81,5.91%,763,55.65%,,,
,0190 Clay-Chalkville Middle School,0,"1,049",604,57.58%,69,6.58%,673,64.16%,,,
,0200 Concord Elementary School,0,377,139,36.87%,18,4.77%,157,41.64%,,,
,0210 Corner High School,0,526,101,19.20%,19,3.61%,120,22.81%,,,
,0211 Corner Middle School,0,444,97,21.85%,25,5.63%,122,27.48%,,,
,0220 U.W. Clemon Elementary School,1,527,273,51.80%,*,*,273,51.80%,,,
,0270 Erwin Intermediate School,1,584,406,69.52%,*,*,406,69.52%,,,
,0275 Erwin Middle School,1,631,413,65.45%,*,*,413,65.45%,,,
,0280 Center Point High School,1,772,456,59.07%,*,*,456,59.07%,,,
,0290 Fultondale Elementary School,0,907,432,47.63%,36,3.97%,468,51.60%,,,
,0295 Fultondale High School,0,644,290,45.03%,42,6.52%,332,51.55%,,,
,0300 Gardendale Elementary School,0,686,156,22.74%,25,3.64%,181,26.38%,,,
,0310 Gardendale High School,0,"1,039",230,22.14%,35,3.37%,265,25.51%,,,
,0360 McCalla Elementary School,0,677,265,39.14%,39,5.76%,304,44.90%,,,
,0410 Hueytown Intermediate School,0,492,278,56.50%,32,6.50%,310,63.01%,,,
,0420 Hueytown High School,0,"1,175",570,48.51%,69,5.87%,639,54.38%,,,
,0430 Irondale Community School,0,442,218,49.32%,13,2.94%,231,52.26%,,,
,0431 Irondale Middle School,0,497,247,49.70%,41,8.25%,288,57.95%,,,
,0432 Jefferson County Virtual School ,0,341,149,43.70%,18,5.28%,167,48.97%,,,
,0440 Kermit Johnson School,0,656,370,56.40%,37,5.64%,407,62.04%,,,
,0500 Lipscomb Elementary School,1,249,133,53.41%,*,*,133,53.41%,,,
,0520 McAdory High School,0,"1,142",427,37.39%,66,5.78%,493,43.17%,,,
,0525 McAdory Elementary School,0,602,220,36.54%,50,8.31%,270,44.85%,,,
,0528 McAdory Middle School,0,929,392,42.20%,66,7.10%,458,49.30%,,,
,0580 Minor Community School,1,378,239,63.23%,*,*,239,63.23%,,,
,0585 Minor High School,1,949,405,42.68%,*,*,405,42.68%,,,
,0610 Mortimer Jordan High School,0,846,171,20.21%,52,6.15%,223,26.36%,,,
,0630 Mount Olive Elementary School,0,281,55,19.57%,11,3.91%,66,23.49%,,,
,0660 Hueytown Primary School,1,456,183,40.13%,*,*,183,40.13%,,,
,0662 North Jefferson Middle School,0,650,170,26.15%,18,2.77%,188,28.92%,,,
,0685 Oak Grove Elementary School,0,507,166,32.74%,28,5.52%,194,38.26%,,,
,0690 Oak Grove High School,0,800,239,29.88%,22,2.75%,261,32.63%,,,
,0700 Pinson Elementary School,0,644,350,54.35%,43,6.68%,393,61.02%,,,
,0710 Pinson Valley High School,0,"1,064",566,53.20%,100,9.40%,666,62.59%,,,
,0730 Hueytown Middle School,0,791,442,55.88%,50,6.32%,492,62.20%,,,
,0735 Pleasant Grove High School,0,782,380,48.59%,65,8.31%,445,56.91%,,,
,0736 Pleasant Grove Elementary School,0,631,322,51.03%,37,5.86%,359,56.89%,,,
,0737 Jefferson County International Baccalaureate School,0,300,69,23.00%,24,8.00%,93,31.00%,,,
,0790 Rudd Middle School,0,711,381,53.59%,56,7.88%,437,61.46%,,,
,0795 Shades Valley High School,0,"1,174",419,35.69%,83,7.07%,502,42.76%,,,
,0840 Snow Rogers Elementary School,0,343,81,23.62%,15,4.37%,96,27.99%,,,
,0842 Grantswood Community School,0,413,202,48.91%,24,5.81%,226,54.72%,,,
,0845 William E Burkett Multi-Handicapped Center,1,87,27,31.03%,*,*,27,31.03%,,,
,0910 Warrior Elementary School,1,503,144,28.63%,*,*,144,28.63%,,,
,0940 West Jefferson Elementary School,0,99,48,48.48%,*,*,50,50.51%,,,
038 Lamar County,,,"2,134",931,43.627%,179,8.388%,"1,110",52.015%,,,
,0055 South Lamar School,0,581,214,36.83%,57,9.81%,271,46.64%,,,
,0060 Sulligent School,0,680,290,42.65%,43,6.32%,333,48.97%,,,
,0080 Vernon Elementary School,0,259,137,52.90%,24,9.27%,161,62.16%,,,
,0090 Lamar County High-Intermediate,0,614,290,47.23%,55,8.96%,345,56.19%,,,
039 Lauderdale County,,,"7,776","2,712",34.877%,762,9.799%,"3,474",44.676%,,,
,0020 Brooks High School,0,747,177,23.69%,44,5.89%,221,29.59%,,,
,0025 Brooks Elementary School,0,779,235,30.17%,67,8.60%,302,38.77%,,,
,0030 Central High School,0,"1,248",482,38.62%,123,9.86%,605,48.48%,,,
,0070 Lauderdale County High School,0,"1,206",392,32.50%,95,7.88%,487,40.38%,,,
,0080 Lexington School,0,772,221,28.63%,66,8.55%,287,37.18%,,,
,0110 Rogers High School,0,"1,127",409,36.29%,138,12.24%,547,48.54%,,,
,0120 Underwood Elementary School,0,311,91,29.26%,43,13.83%,134,43.09%,,,
,0130 Waterloo High School,0,350,168,48.00%,49,14.00%,217,62.00%,,,
,0140 Wilson High School,0,"1,236",537,43.45%,137,11.08%,674,54.53%,,,
040 Lawrence County,,,"4,606","1,946",42.249%,165,3.582%,"2,111",45.832%,,,
,0020 East Lawrence High School,0,420,172,40.95%,27,6.43%,199,47.38%,,,
,0025 East Lawrence Elementary School,1,539,234,43.41%,*,*,234,43.41%,,,
,0030 R A Hubbard High School,0,150,93,62.00%,*,*,94,62.67%,,,
,0035 East Lawrence Middle School,0,412,208,50.49%,28,6.80%,236,57.28%,,,
,0040 Hatton Elementary School,1,414,123,29.71%,*,*,123,29.71%,,,
,0050 Hatton High School,0,430,121,28.14%,17,3.95%,138,32.09%,,,
,0060 Hazlewood Elementary School,1,187,124,66.31%,*,*,124,66.31%,,,
,0090 Lawrence County High School,0,621,235,37.84%,37,5.96%,272,43.80%,,,
,0110 Moulton Elementary School,1,577,232,40.21%,*,*,232,40.21%,,,
,0120 Moulton Middle School,0,553,237,42.86%,54,9.76%,291,52.62%,,,
,0130 Mount Hope,1,106,50,47.17%,*,*,50,47.17%,,,
,0140 Speake,1,184,109,59.24%,*,*,109,59.24%,,,
,0145 Lawrence County Developmental,0,13,*,*,*,*,*,*,,,
041 Lee County,,,"9,047","3,933",43.473%,505,5.582%,"4,438",49.055%,,,
,0010 Beauregard High School,0,543,233,42.91%,37,6.81%,270,49.72%,,,
,0011 Beauregard Elementary School,0,681,390,57.27%,34,4.99%,424,62.26%,,,
,0020 Beulah High School,0,536,261,48.69%,35,6.53%,296,55.22%,,,
,0021 Beulah Elementary School,0,637,356,55.89%,34,5.34%,390,61.22%,,,
,0030 Loachapoka High School,0,227,182,80.18%,*,*,192,84.58%,,,
,0031 Loachapoka Elementary School,0,287,230,80.14%,*,*,234,81.53%,,,
,0040 Sanford Middle School,0,535,272,50.84%,35,6.54%,307,57.38%,,,
,0050 West Smiths Station Elementary School,0,849,286,33.69%,52,6.12%,338,39.81%,,,
,0060 Smiths Station High School,0,"1,318",374,28.38%,53,4.02%,427,32.40%,,,
,0061 East Smiths Station Elementary School,0,785,318,40.51%,45,5.73%,363,46.24%,,,
,0062 South Smiths Station Elementary School,0,639,277,43.35%,54,8.45%,331,51.80%,,,
,0063 Smith Station Freshman Center,0,474,165,34.81%,30,6.33%,195,41.14%,,,
,0070 Smiths Station Junior High School,0,926,336,36.29%,59,6.37%,395,42.66%,,,
,0072 Wacoochee Elementary School,0,610,253,41.48%,23,3.77%,276,45.25%,,,
042 Limestone County,,,"15,220","5,981",39.297%,883,5.802%,"6,864",45.099%,,,
,0010 Ardmore High School,0,"1,003",239,23.83%,81,8.08%,320,31.90%,,,
,0012 Blue Springs Elementary School,0,435,180,41.38%,33,7.59%,213,48.97%,,,
,0015 Cedar Hill Elementary School,0,557,154,27.65%,31,5.57%,185,33.21%,,,
,0020 Clements High School,0,534,184,34.46%,49,9.18%,233,43.63%,,,
,0024 Creekside Primary School,0,581,100,17.21%,23,3.96%,123,21.17%,,,
,0025 Creekside Elementary School,0,543,89,16.39%,33,6.08%,122,22.47%,,,
,0030 East Limestone High School,0,"1,237",197,15.93%,45,3.64%,242,19.56%,,,
,0040 Johnson Elementary School,0,272,105,38.60%,11,4.04%,116,42.65%,,,
,0050 Elkmont High School,0,633,234,36.97%,50,7.90%,284,44.87%,,,
,0051 Elkmont Elementary School,0,345,144,41.74%,23,6.67%,167,48.41%,,,
,0080 Sugar Creek Elementary School,0,599,239,39.90%,50,8.35%,289,48.25%,,,
,0090 Piney Chapel Elementary School,0,185,107,57.84%,19,10.27%,126,68.11%,,,
,0120 Tanner High School,0,407,220,54.05%,26,6.39%,246,60.44%,,,
,0121 Tanner Elementary School,0,308,162,52.60%,11,3.57%,173,56.17%,,,
,0128 Alabama Connections Academy,0,"6,834","3,378",49.43%,331,4.84%,"3,709",54.27%,,,
,0140 West Limestone High School,0,747,249,33.33%,67,8.97%,316,42.30%,,,
043 Lowndes County,,,"1,170",884,75.556%,*,*,884,75.556%,,,
,0015 Calhoun High School,1,183,126,68.85%,*,*,126,68.85%,,,
,0020 Central Elementary School,1,191,148,77.49%,*,*,148,77.49%,,,
,0025 Central High School,1,179,121,67.60%,*,*,121,67.60%,,,
,0030 Fort Deposit Elementary School,1,183,156,85.25%,*,*,156,85.25%,,,
,0040 Hayneville Middle School,1,177,133,75.14%,*,*,133,75.14%,,,
,0050 Lowndes County Middle School,1,139,118,84.89%,*,*,118,84.89%,,,
,0080 Jackson-Steele Elementary School,1,118,82,69.49%,*,*,82,69.49%,,,
044 Macon County,,,"1,791","1,036",57.845%,*,*,"1,036",57.845%,,,
,0010 Booker T Washington High,1,477,237,49.69%,*,*,237,49.69%,,,
,0020 DC Wolfe School,1,117,63,53.85%,*,*,63,53.85%,,,
,0025 George Washington Carver Elementary School,1,361,228,63.16%,*,*,228,63.16%,,,
,0060 Notasulga High School,1,286,166,58.04%,*,*,166,58.04%,,,
,0095 Tuskegee Public Elementary,1,295,181,61.36%,*,*,181,61.36%,,,
,0100 Tuskegee Institute Middle School,1,255,161,63.14%,*,*,161,63.14%,,,
045 Madison County,,,"19,167","4,583",23.911%,943,4.92%,"5,526",28.831%,,,
,0030 Buckhorn High School,0,"1,284",247,19.24%,49,3.82%,296,23.05%,,,
,0035 Buckhorn Middle School,0,668,147,22.01%,31,4.64%,178,26.65%,,,
,0040 Central School,0,633,117,18.48%,16,2.53%,133,21.01%,,,
,0060 Harvest School,0,652,225,34.51%,58,8.90%,283,43.40%,,,
,0063 Hazel Green Elementary School,0,598,174,29.10%,41,6.86%,215,35.95%,,,
,0070 Hazel Green High School,0,"1,279",261,20.41%,55,4.30%,316,24.71%,,,
,0090 Madison County Elementary School,0,361,162,44.88%,14,3.88%,176,48.75%,,,
,0095 Madison County High School,0,497,93,18.71%,*,*,103,20.72%,,,
,0110 Madison Cross Roads Elementary School,0,845,324,38.34%,55,6.51%,379,44.85%,,,
,0115 Meridianville Middle School,0,680,171,25.15%,36,5.29%,207,30.44%,,,
,0120 Monrovia Middle School,0,964,141,14.63%,35,3.63%,176,18.26%,,,
,0130 Monrovia Elementary School,0,484,65,13.43%,16,3.31%,81,16.74%,,,
,0132 Lynn Fanning Elementary School,0,635,140,22.05%,28,4.41%,168,26.46%,,,
,0135 Mt Carmel Elementary School,0,545,120,22.02%,26,4.77%,146,26.79%,,,
,0140 New Hope High School,0,587,188,32.03%,38,6.47%,226,38.50%,,,
,0141 New Hope Elementary School,0,538,178,33.09%,26,4.83%,204,37.92%,,,
,0150 New Market School,0,311,82,26.37%,19,6.11%,101,32.48%,,,
,0170 Owens Cross Roads School,0,278,102,36.69%,30,10.79%,132,47.48%,,,
,0176 Riverton Intermediate School,0,759,127,16.73%,40,5.27%,167,22.00%,,,
,0180 Riverton Elementary School,0,504,78,15.48%,18,3.57%,96,19.05%,,,
,0185 Legacy Elementary School,0,617,104,16.86%,13,2.11%,117,18.96%,,,
,0190 Sparkman High School,0,"1,761",347,19.70%,84,4.77%,431,24.47%,,,
,0191 Sparkman Ninth Grade School,0,668,159,23.80%,43,6.44%,202,30.24%,,,
,0195 Sparkman Middle School,0,819,307,37.48%,65,7.94%,372,45.42%,,,
,0210 Walnut Grove School,0,247,91,36.84%,16,6.48%,107,43.32%,,,
,0215 Moores Mill Intermediate School,0,740,176,23.78%,38,5.14%,214,28.92%,,,
,0230 Endeavor Elementary School,0,553,111,20.07%,25,4.52%,136,24.59%,,,
,0250 Madison County Virtual Academy,0,660,146,22.12%,18,2.73%,164,24.85%,,,
046 Marengo County,,,913,459,50.274%,*,*,459,50.274%,,,
,0010 Amelia L. Johnson High School,1,144,94,65.28%,*,*,94,65.28%,,,
,0060 Marengo High School,1,245,190,77.55%,*,*,190,77.55%,,,
,0090 Sweet Water High School,1,524,175,33.40%,*,*,175,33.40%,,,
047 Marion County,,,"3,307","1,463",44.239%,261,7.892%,"1,724",52.132%,,,
,0010 Brilliant School,0,264,145,54.92%,16,6.06%,161,60.98%,,,
,0060 Guin Elementary School,0,279,146,52.33%,13,4.66%,159,56.99%,,,
,0065 Hackleburg Elementary School,0,245,114,46.53%,32,13.06%,146,59.59%,,,
,0070 Hackleburg High School,0,217,83,38.25%,22,10.14%,105,48.39%,,,
,0075 Hamilton Elementary School,0,616,295,47.89%,64,10.39%,359,58.28%,,,
,0080 Hamilton Middle School,0,471,203,43.10%,29,6.16%,232,49.26%,,,
,0090 Hamilton High School,0,498,161,32.33%,30,6.02%,191,38.35%,,,
,0095 Marion County Alternative School,0,*,*,*,*,*,*,*,,,
,0100 Marion County High School,0,239,105,43.93%,22,9.21%,127,53.14%,,,
,0105 Phillips Elementary School,0,249,133,53.41%,15,6.02%,148,59.44%,,,
,0110 Phillips High School,0,222,75,33.78%,18,8.11%,93,41.89%,,,
048 Marshall County,,,"5,652","2,372",41.967%,*,*,"2,372",41.967%,,,
,0030 Asbury High School,1,656,325,49.54%,*,*,325,49.54%,,,
,0035 Asbury Elementary School,1,620,350,56.45%,*,*,350,56.45%,,,
,0042 Brindlee Mountain High School,1,578,235,40.66%,*,*,235,40.66%,,,
,0070 Claysville School,1,*,*,*,*,*,*,*,,,
,0090 Douglas Elementary School,1,448,251,56.03%,*,*,251,56.03%,,,
,0095 Robert D Sloman Primary,1,460,201,43.70%,*,*,201,43.70%,,,
,0100 Douglas High School,1,659,256,38.85%,*,*,256,38.85%,,,
,0105 Douglas Middle School,1,513,236,46.00%,*,*,236,46.00%,,,
,0120 Brindlee Mountain Elementary School,1,189,70,37.04%,*,*,70,37.04%,,,
,0140 Kate D Smith DAR High School,1,413,100,24.21%,*,*,100,24.21%,,,
,0143 Kate Duncan Smith DAR Middle,1,371,89,23.99%,*,*,89,23.99%,,,
,0145 Kate D Smith DAR Elementary School,1,503,151,30.02%,*,*,151,30.02%,,,
,0180 Brindlee Mountain Primary School,1,242,108,44.63%,*,*,108,44.63%,,,
049 Mobile County,,,"50,654","24,848",49.054%,*,*,"24,848",49.054%,,,
,0021 North Mobile County Middle School,1,410,213,51.95%,*,*,213,51.95%,,,
,0035 Anna F Booth Elementary School,1,398,193,48.49%,*,*,193,48.49%,,,
,0040 Peter F Alba Middle School,1,523,256,48.95%,*,*,256,48.95%,,,
,0042 Allentown Elementary School,1,741,255,34.41%,*,*,255,34.41%,,,
,0050 Augusta Evans School,1,232,86,37.07%,*,*,86,37.07%,,,
,0060 Mary B Austin Elementary School,1,520,163,31.35%,*,*,163,31.35%,,,
,0070 Denton Magnet School of Technology,1,358,86,24.02%,*,*,86,24.02%,,,
,0080 Ben C Rain High School,1,578,390,67.47%,*,*,390,67.47%,,,
,0090 Booker T Washington Middle School,1,352,271,76.99%,*,*,271,76.99%,,,
,0100 Baker High School,1,"2,504",681,27.20%,*,*,681,27.20%,,,
,0107 Barton Academy For Advanced World Studies,1,195,33,16.92%,*,*,33,16.92%,,,
,0112 Bernice J Causey Middle School,1,"1,455",471,32.37%,*,*,471,32.37%,,,
,0120 Mattie T Blount High School,1,"1,163",705,60.62%,*,*,705,60.62%,,,
,0132 Breitling Elementary School,1,499,178,35.67%,*,*,178,35.67%,,,
,0136 Alma Bryant High School,1,"1,682",566,33.65%,*,*,566,33.65%,,,
,0138 Burns Middle School,1,814,399,49.02%,*,*,399,49.02%,,,
,0140 Mary W Burroughs Elementary School,1,385,258,67.01%,*,*,258,67.01%,,,
,0150 Calcedeaver Elementary School,1,201,126,62.69%,*,*,126,62.69%,,,
,0156 Calloway Smith Middle School,1,420,303,72.14%,*,*,303,72.14%,,,
,0190 Citronelle High School,1,743,278,37.42%,*,*,278,37.42%,,,
,0195 Continuous Learning Center,1,76,57,75.00%,*,*,57,75.00%,,,
,0200 W H Council Traditional School,1,652,207,31.75%,*,*,207,31.75%,,,
,0210 Erwin Craighead Elementary School,1,397,338,85.14%,*,*,338,85.14%,,,
,0228 Dauphin Island Elementary School,1,67,12,17.91%,*,*,12,17.91%,,,
,0230 WP Davidson High School,1,"1,583",482,30.45%,*,*,482,30.45%,,,
,0231 Dawes Intermediate School,1,565,115,20.35%,*,*,115,20.35%,,,
,0240 Dixon Elementary School,1,423,227,53.66%,*,*,227,53.66%,,,
,0245 Dr. Robert W. Gilliard Elementary,1,739,581,78.62%,*,*,581,78.62%,,,
,0250 Dunbar Creative Performing Arts,1,417,209,50.12%,*,*,209,50.12%,,,
,0260 ER Dickson Elementary School,1,926,496,53.56%,*,*,496,53.56%,,,
,0270 Collins-Rhodes Elementary School,1,539,444,82.37%,*,*,444,82.37%,,,
,0275 Elsie Collier Elementary School,1,679,220,32.40%,*,*,220,32.40%,,,
,0280 Goodwill Easter Seal Center Special Child,0,*,*,*,*,*,*,*,,,
,0290 Elizabeth Fonde Elementary School,1,618,423,68.45%,*,*,423,68.45%,,,
,0291 Evening Educational Options,0,23,11,47.83%,*,*,11,47.83%,,,
,0310 Forest Hill Elementary School,1,526,396,75.29%,*,*,396,75.29%,,,
,0320 George Hall Elementary School,1,257,227,88.33%,*,*,227,88.33%,,,
,0323 J E Turner Elementary,1,484,198,40.91%,*,*,198,40.91%,,,
,0340 Cora Castlen Elementary,1,420,145,34.52%,*,*,145,34.52%,,,
,0345 Grant Elementary School,1,250,207,82.80%,*,*,207,82.80%,,,
,0350 WC Griggs Elementary School,1,642,313,48.75%,*,*,313,48.75%,,,
,0380 Hollingers Island Elementary School,1,287,139,48.43%,*,*,139,48.43%,,,
,0385 Florence Howard Elementary School,1,416,323,77.64%,*,*,323,77.64%,,,
,0388 Hutchens Elementary School,1,545,106,19.45%,*,*,106,19.45%,,,
,0390 Indian Springs Elementary School,1,347,214,61.67%,*,*,214,61.67%,,,
,0400 John Will Elementary School,1,494,360,72.87%,*,*,360,72.87%,,,
,0410 Clark-Shaw Magnet School,1,680,205,30.15%,*,*,205,30.15%,,,
,0420 Kate Shepard Elementary School,1,539,304,56.40%,*,*,304,56.40%,,,
,0430 Leinkauf Elementary School,1,542,398,73.43%,*,*,398,73.43%,,,
,0460 Mary G Montgomery High School,1,"1,962",583,29.71%,*,*,583,29.71%,,,
,0470 Maryvale Elementary School,1,442,366,82.81%,*,*,366,82.81%,,,
,0473 McDavid-Jones Elementary School,1,731,346,47.33%,*,*,346,47.33%,,,
,0475 Meadowlake Elementary,1,386,154,39.90%,*,*,154,39.90%,,,
,0490 Grand Bay Middle School,1,769,270,35.11%,*,*,270,35.11%,,,
,0495 The Pathway,1,306,212,69.28%,*,*,212,69.28%,,,
,0500 Mobile County Training Middle School,1,206,174,84.47%,*,*,174,84.47%,,,
,0505 Mobile Mental Health Center,0,27,20,74.07%,*,*,20,74.07%,,,
,0506 Eichold-Mertz School of Math and Science,1,520,133,25.58%,*,*,133,25.58%,,,
,0510 Morningside Elementary School,1,461,368,79.83%,*,*,368,79.83%,,,
,0530 Murphy High School,1,"1,300",578,44.46%,*,*,578,44.46%,,,
,0540 Nan Gray Davis Elementary School,1,435,247,56.78%,*,*,247,56.78%,,,
,0550 Old Shell Road Magnet School,1,368,129,35.05%,*,*,129,35.05%,,,
,0560 Olive J Dodge Elementary School,1,803,409,50.93%,*,*,409,50.93%,,,
,0570 Orchard Elementary School,1,464,276,59.48%,*,*,276,59.48%,,,
,0590 Phillips Preparatory Middle School,1,512,125,24.41%,*,*,125,24.41%,,,
,0595 Pillans Middle School,1,585,469,80.17%,*,*,469,80.17%,,,
,0621 Lott Middle School,1,447,199,44.52%,*,*,199,44.52%,,,
,0622 O'Rourke Elementary School,1,773,299,38.68%,*,*,299,38.68%,,,
,0650 CL Scarborough Model Middle School,1,714,459,64.29%,*,*,459,64.29%,,,
,0656 Semmes Elementary School,1,501,183,36.53%,*,*,183,36.53%,,,
,0660 Semmes Middle School,1,"1,444",584,40.44%,*,*,584,40.44%,,,
,0690 Saint Elmo Elementary School,1,384,177,46.09%,*,*,177,46.09%,,,
,0700 Holloway Elementary,1,493,398,80.73%,*,*,398,80.73%,,,
,0705 Taylor White Elementary School,1,366,115,31.42%,*,*,115,31.42%,,,
,0710 Tanner Williams Elementary School,1,287,94,32.75%,*,*,94,32.75%,,,
,0715 Theodore High School,1,"1,255",520,41.43%,*,*,520,41.43%,,,
,0720 Katherine H Hankins Middle School,1,836,451,53.95%,*,*,451,53.95%,,,
,0730 John L Leflore Magnet School,1,607,383,63.10%,*,*,383,63.10%,,,
,0735 Just 4 Development Laboratory,1,*,*,*,*,*,*,*,,,
,0740 Chastang-Fournier Middle School,1,588,455,77.38%,*,*,455,77.38%,,,
,0750 CF Vigor High School,1,530,399,75.28%,*,*,399,75.28%,,,
,0760 WD Robbins Elementary School,1,281,229,81.49%,*,*,229,81.49%,,,
,0770 Spencer-Westlawn Elementary School,1,416,337,81.01%,*,*,337,81.01%,,,
,0790 Whitley Elementary School,1,256,225,87.89%,*,*,225,87.89%,,,
,0800 Lillie B Williamson High School,1,939,735,78.27%,*,*,735,78.27%,,,
,0810 Wilmer Elementary School,1,421,230,54.63%,*,*,230,54.63%,,,
,0859 Pearl Haskew Elementary,1,503,236,46.92%,*,*,236,46.92%,,,
,5160 H.L. Sonny Callahan School for the Deaf and Blind,1,29,13,44.83%,*,*,13,44.83%,,,
050 Monroe County,,,"3,064","1,352",44.125%,*,*,"1,352",44.125%,,,
,0020 Excel High School,0,"1,002",329,32.83%,*,*,329,32.83%,,,
